iter	RMSE
0	2.581598996
1	2.534716336
2	2.488100509
3	2.443089773
4	2.400195906
5	2.360566634
6	2.32158922477	2.28186168
8	2.24478834
9	2.210223796
110	3.136952768
11	3.096214925
12	3.055163287
13	3.013261354
14	2.976700722
15	2.937115059
16	2.899885866
17	2.865498899
18	2.829018338
19	2.794622343
20	2.758292032
21	2.730154109
22	2.69713503
23	2.66774506
24	2.636234906
25	2.606252029
26	2.577141058
27	2.547782258
28	2.520197212
29	2.494034841
30	2.471191809
31	2.447583795
32	2.423851674
33	2.399961569
34	2.381433202
35	2.363949508
36	2.344248258
37	2.326111282
38	2.309329239
39	2.290500658
40	2.273594933
41	2.257925535
42	2.244889362
43	2.229686046
44	2.214141631
45	2.199582696
46	2.187427992
47	2.174267518
48	2.158933904
49	2.146816156
50	2.133143082
51	2.121508166
52	2.11119251
53	2.097379818
54	2.085328664
55	2.076329021
56	2.066049138
57	2.05596101
58	2.04539855
59	2.033390324
60	2.022395183
61	2.014555791
62	2.006710175
63	1.998944999
64	1.993100745
65	1.984783847
66	1.977336887
67	1.969763477
68	1.964116889
69	1.957285497
70	1.951284319
71	1.943014985
72	1.935208582
73	1.928565458
74	1.922157926
75	1.916256014
76	1.911551968
77	1.904697833
78	1.90080652
79	1.896041733
80	1.891378365
81	1.885917892
82	1.882133628
83	1.878030139
84	1.872621894
84	0.8750203408
85	0.8701843114
86	0.8655119643
87	0.8608233594
88	0.8568361477
89	0.8524074332
90	0.8490923897
91	0.8461072582
92	0.8419761856
93	0.839073183
94	0.8360103969
95	0.8323767283
96	0.8282315821
97	0.8248462155
98	0.8213723591
99	0.8185590487
100	0.8147645575
101	0.8125408568
102	0.8090942605
103	0.8070128385
104	0.8050119492
105	0.8028698337
106	0.7998052982
107	0.7973179436
108	0.7953468511
109	0.7932465954
110	0.7916475452
111	0.7894217422
112	0.7876043433
113	0.7855006594
114	0.7842337724
118	1.766579747
119	1.765434142
120	1.764586192
121	1.762595071
122	1.760213196
123	1.759122411
124	1.75754612
125	1.754927825
126	1.752676619
127	1.74972234
128	1.748424971
129	1.745786091
130	1.745343931
131	1.742867891
132	1.740759355
133	1.739265254
134	1.738051728
135	1.736025265
136	1.734257564
137	1.732099517
138	1.730310404
139	1.72821206
140	1.725657751
141	1.724686674
142	1.722680441
143	1.721635204
144	1.720100828
145	1.719308997
146	1.717190238
147	1.71456969
148	1.713817232
149	1.711234604
150	1.709372553
146	0.74226758431147	0.74156020015148	0.74080531154149	0.7392939155	150	0.738121156	1151	0.73695157	1.152	0.7363158	1.6153	0.735159	1.69154	0.73160	1.691237013
161	1.68955819
162	1.688229157	163	1.6866887158164	1.6850704815165	1.6835593931166	1.681939215
167	1.679289893
168	1.677650034
169	1.676439955
170	1.67504194
171	1.674029302
172	1.672646304
173	1.671248722
174	1.669830094
175	1.66792637
176	1.667246933
177	1.667026807
178	1.665412559
179	1.664545798
180	1.663043784
181	1.661595314
182	1.659750136
183	1.658710604
184	1.657393563
185	1.65562551
186	1.654445025
187	1.651879642
188	1.650271748
189	1.64901123
190	1.647981972
191	1.646751826
192	1.644857031
193	1.643746353
194	1.642618215
195	1.641186438
196	1.639779735
197	1.638508011
198	1.637433248
199	1.635649214
200	1.634045466
201	1.632827694
202	1.63049514
203	1.629274834
204	1.628168325
205	1.627282507
206	1.626242354
207	1.624313815
208	1.623206729
209	1.621353041
210	1.61979896
211	1.618867956
212	1.617523086
213	1.616504798
214	1.614758662
215	1.612993423
216	1.612034222
217	1.610572661
218	1.608720557
219	1.607878113
220	1.606102743
221	1.604419221
222	1.603099703
223	1.601899861
224	1.601088469
225	1.600255397
226	1.598898605
227	1.598094972
228	1.596506753
229	1.595551265
230	1.594163482
231	1.593368146
232	1.592621496
233	1.591764008
234	1.589862046
235	1.58915118
236	1.587614173
237	1.586304979
238	1.58541105
239	1.583941007
240	1.582493537
241	1.580639626
242	1.57966977
243	1.578098132
244	1.57733526
245	1.57647314
246	1.575744626
247	1.575132231
248	1.574353121
249	1.572694846
250	1.57180004
251	1.570471266
252	1.569712866
253	1.568823755
254	1.568033971
255	1.567255645
256	1.566398119
257	1.565639943
258	1.5648126
259	1.563006844
260	1.561733313
261	1.560002803
262	1.559018345
263	1.55777351
264	1.556524798
265	1.555295458
266	1.554508274
267	1.553305776
268	1.55164667
269	1.55088387
270	1.549161485
271	1.547640391
272	1.546879152
273	1.545709083
274	1.543923446
275	1.542770476
276	1.541635438
277	1.540518049
278	1.539418031
279	1.538722578
280	1.537649287
281	1.536592695
282	1.535552539
283	1.534865191
284	1.533508228
285	1.531717509
286	1.530697893
287	1.529694146
288	1.528393884
289	1.52773519
290	1.526752577
291	1.525181305
292	1.524540083
293	1.523586893
294	1.522002118
295	1.520261411
296	1.519331148
297	1.518415364
298	1.516360656
299	1.51482851
300	1.513313953
301	1.511883265
302	1.510987427
303	1.510105528
304	1.509237347
305	1.507747576
306	1.506274557
307	1.505424904
308	1.504588466
309	1.503765032
310	1.502120904
311	1.500703996
312	1.499891295
313	1.499091239
314	1.497584754
315	1.496286178
316	1.495503013
317	1.494732035
318	1.493245461
319	1.492688465
320	1.491275014
321	1.489895954
322	1.489347024
323	1.488806613
324	1.487545011
325	1.487012582
326	1.485683129
327	1.485161779
328	1.483965726
329	1.482714013
330	1.481470743
331	1.480743971
332	1.477609585
333	1.476892613
334	1.475476929
335	1.474243012
336	1.473744911
337	1.472349647
338	1.471633329
339	1.47030522
340	1.468923204
341	1.467718155
342	1.467024696
343	1.465911009
344	1.464537462
345	1.463246724
346	1.462765416
347	1.461284369
348	1.458752674
349	1.457423339
350	1.456065498
351	1.455591764
352	1.454416523
353	1.453098785
354	1.451759623
355	1.451296051
356	1.449997197
357	1.448739415
358	1.447419216
359	1.446465624
360	1.445501452
361	1.444239328
362	1.443177978
363	1.442721306
364	1.441792444
365	1.440478974
366	1.439368874
367	1.438279723
368	1.437371755
369	1.436260541
370	1.435351797
371	1.434908399
372	1.433710779
373	1.432552472
374	1.431410464
375	1.430069031
376	1.429083896
377	1.427881287
378	1.427203887
379	1.42613149
380	1.424812366
381	1.422843963
382	1.4216985
383	1.420381782
384	1.419508823
385	1.418230818
386	1.416109233
387	1.414817431
388	1.413001194
389	1.411914474
390	1.410744877
391	1.409798518
392	1.408519302
393	1.407353509
394	1.40633623
395	1.405830645
396	1.403917435
397	1.402032371
398	1.400976897
399	1.399748782
400	1.398775899
401	1.397888899
402	1.396848764
403	1.394269747
404	1.393245059
405	1.392468046
406	1.391082513
407	1.390048695
408	1.388947006
409	1.387638035
410	1.386497577
411	1.385430657
412	1.38437093
413	1.383279889
414	1.382585963
415	1.381590516
416	1.37973173
417	1.377900264
