iter	Passed	Remaining
0	134	134845
1	135	67539
2	135	45096
3	136	33873
4	136	27140
5	136	22654
6	137	19448
7	137	17046
8	137	15175
9	138	13682
10	161	14496
11	161	13330
12	162	12314
13	162	11449
14	162	10699
15	163	10047
16	163	9468
17	164	8953
18	164	8494
19	164	8079
20	165	7699
21	165	7359
22	165	7050
23	166	6764
24	166	6501
25	167	6259
26	167	6034
27	167	5826
28	168	5632
29	168	5451
30	168	5281
31	169	5122
32	169	4973
33	170	4832
34	170	4700
35	170	4571
36	171	4452
37	171	4340
38	171	4234
39	172	4133
40	172	4037
41	173	3946
42	173	3859
43	173	3775
44	174	3695
45	174	3619
46	174	3547
47	175	3477
48	175	3410
49	176	3346
50	176	3284
51	176	3225
52	177	3168
53	177	3113
54	178	3060
55	178	3009
56	178	2959
57	179	2911
58	179	2865
59	180	2821
60	180	2777
61	180	2735
62	181	2695
63	181	2655
64	182	2618
65	182	2581
66	182	2545
67	183	2510
68	183	2476
69	183	2443
70	184	2411
71	184	2380
72	185	2350
73	185	2320
74	185	2292
75	186	2264
76	186	2237
77	187	2211
78	187	2185
79	187	2160
80	188	2135
81	188	2111
82	189	2089
83	189	20684	181	1955
85	182	1934
86	182	1914
87	182	1894
88	183	1875
89	183	1856
90	184	1838
91	184	1819
92	184	1803
93	185	1788
94	186	1771
95	186	1755
96	186	1739
97	187	1723
98	187	1707
99	188	1692
100	188	1676
101	188	1662
102	189	1647
103	189	1632
104	189	1618
105	190	1604
106	190	1591
107	191	1578
108	191	1565
109	191	1552
110	192	1540
111	192	1528
112	193	1516
113	193	1504
114	194	1492
115	194	1482
116	194	1471
117	195	1460
11118	219	1624
119	219	1612
120	220	1600
121	220	1588
122	221	1577
123	221	1565
124	222	1554
125	222	1543
126	223	1533
127	223	1522
128	223	1512
129	224	1502
130	224	1492
131	225	1482
132	225	1472
133	226	1462
134	226	1452
135	227	1442
136	227	1433
137	227	1423
138	228	1414
139	228	1404
140	229	1395
141	229	1386
142	229	1378
143	230	1369
144	230	1360
145	231	135146	210	1223
147	211	1216
148	211	1209
149	212	1201
150	212	1194
151	212	1187
152	213	1181
153	213	1174
154	213	1166
155	214	1159
156	214	1153
157	215	1146
158	215	1140
159	216	1134
160	216	1127
161	216	1121
162	217	1116
163	217	1109
164	218	1103
165	218	1097
166	218	1092
167	219	1086
168	219	1080
169	220	1074
170	220	1069
171	220	1063
172	221	1057
173	221	1052
174	222	1047
175	222	1041
176	222	1036
177	223	1031
178	223	1025
179	224	1020
180	224	1015
181	224	1009
182	225	1005
183	225	1000
184	226	995
185	226	991
186	226	986
187	2187	263	1136
188	263	1131
189	264	1125
190	264	1120
191	264	1114
192	265	1109
193	265	1103
194	266	1098
195	266	1093
196	266	1087
197	267	1082
198	267	1077
199	268	1072
200	268	1067
201	268	1062
202	269	1057
203	269	1052
204	270	1047
205	270	1042
206	270	1037
207	271	1032
208	271	1027
209	272	1023
210	272	1018
211	272	1014
212	273	1009
213	273	1005
214	274	1000
215	274	996
216	274	991
217	275	987
218	275	983
219	275	978
220	276	974
221	276	969
222	277	965
223	277	961
224	277	956
225	278	952
226	278	948
227	278	944
228	279	940
229	279	936
230	280	932
231	280	928
232	281	925
233	281	921
234	281	917
235	282	913
236	282	909
237	282	905
238	283	901
239	283	898
240	284	894
241	284	890
242	284	887
243	285	883
244	285	880
245	286	877
246	286	873
247	286	869
248	287	866
249	287	862
250	288	859
251	288	856
252	288	852
253	289	849
254257	272	782
258	272	780
259	273	777
260	273	774
261	274	772
262	274	769
263	274	7261	305	860
262	305	856
263	306	853
264	306	850
265	306	846
266	307	843
267	307	840
268	308	837
269	308	834
270	308	831
271	309	828
272	309	824
273	310	821
274	310	818
275	311	815
276	311	812
277	311	809
278	312	806
279	312	803
280	313	801
281	313	798
282	313	795
283	314	792
284	314	789
285	315	786
286	315	783
287	315	781
288	316	778
289	316	775
290	317	772
291	317	769
292	317	767
293	318	764
294	318	761
295	319	759
296	319	756
297	319	753
298	320	751
299	320	748
300	321	746
301	321	743
302	322	741
303	322	738
304	323	736
305	323	733
306	324	732
307	324	729
308	325	727
309	325	724
310	326	722
311	326	719
312	326	717
313	327	715
314	327	712
315	328	710
316	328	707
317	328	705
318	329	703
319	329	700
320	330	698
321	330	696
322	331	693
323	331	691
324	331	689
325	332	687
326	332	684
327	333	682
328	333	680
329	334	678
330	334	676
331334	331	657
335	331	655
336	332	653
337	332	651
338	333	649
339	333	647
340	333	645
341	334	643
342	334	641
343	335	639
344	335	637
345	336	635
346	336	633
347	336	631
348	337	629
349	337	627
350	338	625
351	338	623
352	339	621
353	339	619
354	339	617
355	340	616
356	341	614
357	341	612
358	341	610
359	342	608
360	342	606
361	343	604
362	343	602
363	343	600
364	344	599
365	344	597
366	345	595
367	345	593
368	345	591
369	346	589
370	346	587
371	347	586
372	347	584
373	348	582
374	348	580
375	348	579
376	349	577
377	349	575
378	350	573
379	350	571
380	350	570
381	351	568
382	351	566
383	352	564
384	352	563
385	352	561
386	353	559
387	353	558
388	354	556
389	354	554
390	354	552
391	355	551
392	355	549
393	356	547
394	356	546
395	357	544
396	357	542
397	357	541
398	358	539
399	358	537
400	359	536
401	359	534
402	359	533
403	360	531
404	360	529
405	361	528
406	361	526
407	361	525
408	362	523
409	362	521
410	363	520
411	363	518
412	363	517
413	364	515
414	364	514
415	365	512
416	365	510
417	365	509
418	366	507
419	366	506
420	367	504
421	367	503
422	367	501
423	368	500
424	368	498
425	369	497
426	369	495
427	369	494
428	370	492
429	370	491
430	371	489
431	371	488
432	371	487
433	372	485
434	372	484
435	373	482
436	373	481
437	374	479
438	374	478
439	374	477
440	375	475
441	375	474
442	376	472
443	376	471
444	376	470
445	377	468
446	377	467
447	378	466
448	378	464
449	379	463
450	379	461
451	379	460
452	380	459
453	380	457
454	381	456
455	381	455
456	381	453
457	382	452
458	382	451
459	383	449
460	383	448
461	383	447
462	384	445
463	384	444
464	385	443
465	385	441
466	385	440
467	386	439
468	386	437
469	387	436
